[2024-06-28 23:15:51,291] INFO  * Restarting with stat - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:15:58,568] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:15:58,609] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:15:58,771] INFO 127.0.0.1 - - [28/Jun/2024 23:15:58] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:15:58,776] INFO 127.0.0.1 - - [28/Jun/2024 23:15:58] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:16:44,776] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:16:44,832] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:16:44,842] INFO 127.0.0.1 - - [28/Jun/2024 23:16:44] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:16:44,873] INFO 127.0.0.1 - - [28/Jun/2024 23:16:44] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:17:05,450] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:17:05,488] INFO 127.0.0.1 - - [28/Jun/2024 23:17:05] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:17:05,493] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:17:05,537] INFO 127.0.0.1 - - [28/Jun/2024 23:17:05] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:17:29,608] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:17:29,649] INFO 127.0.0.1 - - [28/Jun/2024 23:17:29] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:17:29,654] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:17:29,697] INFO 127.0.0.1 - - [28/Jun/2024 23:17:29] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:18:34,017] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:18:34,073] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:18:34,076] INFO 127.0.0.1 - - [28/Jun/2024 23:18:34] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:18:34,112] INFO 127.0.0.1 - - [28/Jun/2024 23:18:34] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:18:52,536] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:18:52,572] INFO 127.0.0.1 - - [28/Jun/2024 23:18:52] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:18:52,578] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:18:52,613] INFO 127.0.0.1 - - [28/Jun/2024 23:18:52] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:18:59,209] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:18:59,249] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:18:59,252] INFO 127.0.0.1 - - [28/Jun/2024 23:18:59] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:18:59,284] INFO 127.0.0.1 - - [28/Jun/2024 23:18:59] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:23:11,895] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:23:11,898] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:23:11,975] INFO 127.0.0.1 - - [28/Jun/2024 23:23:11] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:23:11,979] INFO 127.0.0.1 - - [28/Jun/2024 23:23:11] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:03,257] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:03,292] INFO 127.0.0.1 - - [28/Jun/2024 23:24:03] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:12,257] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:12,290] INFO 127.0.0.1 - - [28/Jun/2024 23:24:12] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:14,494] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:14,496] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:14,551] INFO 127.0.0.1 - - [28/Jun/2024 23:24:14] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:14,556] INFO 127.0.0.1 - - [28/Jun/2024 23:24:14] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:43,274] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:43,304] INFO 127.0.0.1 - - [28/Jun/2024 23:24:43] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:45,083] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:45,086] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:45,139] INFO 127.0.0.1 - - [28/Jun/2024 23:24:45] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:45,145] INFO 127.0.0.1 - - [28/Jun/2024 23:24:45] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:52,316] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:52,317] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:24:52,358] INFO 127.0.0.1 - - [28/Jun/2024 23:24:52] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:24:52,362] INFO 127.0.0.1 - - [28/Jun/2024 23:24:52] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:25:10,528] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:25:10,558] INFO 127.0.0.1 - - [28/Jun/2024 23:25:10] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:25:32,365] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:25:32,404] INFO 127.0.0.1 - - [28/Jun/2024 23:25:32] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:25:37,380] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:25:37,382] WARNING Realizando busca por modelos - call_trace=D:\Workspace\MVP\arquitetura\back\use_cases\get_clothes.py L7   
[2024-06-28 23:25:37,429] INFO 127.0.0.1 - - [28/Jun/2024 23:25:37] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
[2024-06-28 23:25:37,433] INFO 127.0.0.1 - - [28/Jun/2024 23:25:37] "POST /clothes HTTP/1.1" 200 - - call_trace=D:\Workspace\MVP\arquitetura\back\env\lib\site-packages\werkzeug\_internal.py L224 
